,song_name,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1397,Mykonos,0.391,0.45,11,-9.251,1,0.417,0.000335,0.14,0.344,121.946,275307,4
1398,Photograph,0.603,0.877,4,-6.606,1,0.000343,0.635,0.0551,0.617,123.679,247962,4
1399,Pushin' Too Hard,0.535,0.654,9,-12.434,1,0.267,1.16e-05,0.318,0.827,143.612,158778,4
1400,I Will Always Love You,0.332,0.214,4,-12.518,1,0.845,5.62e-06,0.0839,0.11,67.531,271093,4
1401,Under the Boardwalk,0.747,0.226,7,-13.635,1,0.908,0.000168,0.107,0.778,123.792,161960,4
1402,When You Were Mine,0.694,0.444,9,-13.254,1,0.00657,0.776,0.0719,0.879,143.078,225547,4
1403,"Steady, As She Goes",0.524,0.575,9,-5.081,1,0.0104,0.0169,0.165,0.532,122.957,217547,4
1404,Man in the Mirror - Remastered Version,0.802,0.813,8,-4.889,1,0.443,1.03e-05,0.111,0.264,100.338,319493,4
1405,Pump It Up,0.644,0.814,11,-6.036,1,0.00933,0.000617,0.107,0.965,138.999,196680,4
1406,Badlands,0.609,0.777,4,-7.548,1,0.0862,1.16e-05,0.278,0.852,122.612,242453,4
1407,Pancho and Lefty,0.631,0.2,1,-17.67,1,0.793,1.22e-06,0.128,0.677,133.175,221053,4
1408,The Last Time - Remastered 2002,0.34,0.93,9,-5.725,1,0.141,0.835,0.59,0.405,167.677,221520,4
1409,Just a Friend,0.862,0.663,0,-9.004,1,0.12,0.0,0.318,0.837,85.308,238267,4
1410,Limit To Your Love,0.798,0.273,10,-11.108,0,0.618,0.168,0.0788,0.0455,139.986,276720,4
1411,Hoppípolla,0.312,0.543,11,-9.875,1,0.0356,0.225,0.128,0.178,140.109,270013,4
1412,Simple Twist of Fate,0.409,0.264,4,-16.273,1,0.665,0.00016,0.102,0.355,137.16,256800,4
1413,Orgasm Addict - 1996 Remastered Version,0.349,0.858,11,-7.898,1,7.89e-05,0.0,0.252,0.751,92.015,121213,4
1414,Inbetween Days,0.535,0.737,9,-9.976,1,0.124,0.00994,0.258,0.728,142.521,177000,4
1415,Nowhere To Run,0.646,0.926,2,-2.352,0,0.135,0.0166,0.0874,0.96,129.361,171933,4
1416,The Universal - 2012 Remaster,0.32,0.546,9,-8.33,1,0.181,1.98e-06,0.0928,0.263,163.824,238520,3
1417,Papa Don't Preach,0.833,0.934,5,-3.243,0,0.343,7.55e-06,0.0521,0.964,121.879,268533,4
1418,Let's Make Love and Listen to Death From Above,0.694,0.791,10,-5.143,0,0.0741,0.0122,0.191,0.695,119.998,211187,4
1419,Girl from the North Country,0.538,0.115,10,-19.536,1,0.883,8.42e-05,0.113,0.312,102.296,199573,4
1420,I Can't Go for That (No Can Do),0.889,0.441,0,-9.506,0,0.0405,0.000788,0.038,0.963,110.565,307307,4
1421,Lovesick Blues - Single Version,0.764,0.22,0,-13.096,1,0.952,2.16e-06,0.161,0.688,126.164,165240,4
1422,Heroes and Villains (Mono),0.376,0.457,1,-12.48,1,0.183,0.0,0.162,0.153,95.482,219560,3
1423,We're An American Band - Remastered 2002,0.637,0.89,7,-4.872,1,0.119,6.72e-05,0.103,0.923,127.689,207093,4
1424,Careless Whisper - Extended Mix,0.547,0.512,2,-11.167,0,0.184,1.1e-05,0.333,0.555,153.173,393973,4
1425,Tom Traubert's Blues (Four Sheets To The Wind In Copenhagen),0.307,0.288,5,-12.619,1,0.71,0.0,0.19,0.323,135.484,395067,4
1426,Never Catch Me,0.526,0.936,8,-4.576,1,0.316,0.000384,0.261,0.283,81.305,234487,4
1427,Back On The Chain Gang - 2009 Remastered,0.598,0.901,2,-5.995,1,0.0956,0.0377,0.172,0.823,153.269,232710,4
1428,God - Remastered 2010,0.64,0.269,4,-13.435,0,0.231,0.00276,0.116,0.178,112.801,252773,3
1429,The Joker,0.455,0.354,5,-13.902,1,0.326,4.35e-06,0.0884,0.842,164.386,264200,4
1430,El Paso,0.654,0.452,2,-9.709,1,0.835,2.89e-05,0.16,0.691,106.662,259307,3
1431,Alright,0.467,0.958,4,-4.808,0,0.000479,0.199,0.299,0.701,145.92,180880,4
1432,Me and Mrs. Jones,0.303,0.555,0,-9.259,0,0.388,1.16e-06,0.468,0.447,67.322,285760,4
1433,Gosh,0.753,0.46,10,-12.282,0,0.0176,0.779,0.0918,0.384,139.458,291019,4
1434,Be Mine!,0.705,0.729,1,-4.571,0,0.292,0.0,0.0505,0.964,158.05,206600,4
1435,Under the Milky Way,0.578,0.583,9,-13.416,0,0.0548,0.199,0.125,0.519,135.986,297600,4
1436,Slide (feat. Frank Ocean & Migos),0.736,0.795,1,-3.299,0,0.498,1.21e-06,0.254,0.511,104.066,230813,4
1437,Brilliant Disguise,0.703,0.726,9,-12.438,1,0.152,1.45e-06,0.0319,0.949,126.353,254840,4
1438,I'm Eighteen,0.618,0.413,4,-14.164,0,0.249,0.0517,0.131,0.531,97.84,180760,4
1439,On & On,0.762,0.403,11,-10.423,0,0.0396,0.0113,0.256,0.346,80.476,226133,4
1440,Do It Again,0.683,0.533,2,-10.253,0,0.206,4.16e-05,0.0525,0.964,124.571,356600,4
1441,Cowgirl in the Sand - 2009 Remaster,0.29,0.821,5,-7.022,1,0.00519,0.0525,0.141,0.359,172.323,606680,4
1442,On The Road Again,0.54,0.301,9,-13.331,1,0.818,0.000136,0.261,0.185,127.758,301467,4
1443,Last Train to Clarksville,0.485,0.629,0,-8.416,1,0.0241,0.0,0.717,0.691,98.639,164253,4
1444,Countdown,0.665,0.787,5,-5.73,1,0.308,0.0,0.219,0.699,167.349,212147,4
1445,Higher Than the Sun,0.519,0.824,1,-8.742,1,0.0184,0.104,0.0666,0.389,81.34,218293,4
1446,Rikki Don't Lose That Number,0.649,0.478,2,-13.628,1,0.51,0.000134,0.0915,0.571,116.179,272627,4
1447,Maggot Brain,0.3,0.353,4,-15.588,0,0.777,0.478,0.406,0.19,134.912,621107,3
1448,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",0.695,0.336,9,-12.999,1,0.8,0.00264,0.701,0.422,79.109,280000,4
1449,Jeepster,0.394,0.863,9,-6.239,1,0.0157,0.0116,0.0609,0.907,193.552,247773,4
1450,"Brother, Can You Spare a Dime? (with Lenny Hayton & His Orchestra)",0.473,0.154,5,-14.51,0,0.987,3.04e-06,0.114,0.322,84.676,192640,4
1451,Rock Your Body,0.892,0.714,4,-6.055,0,0.201,0.000234,0.0521,0.817,100.972,267267,4
1452,Smooth,0.621,0.923,9,-3.907,1,0.17,7.72e-05,0.0933,0.963,115.952,298067,4
1453,Hallogallo,0.619,0.78,9,-14.023,1,0.117,0.831,0.0693,0.771,152.581,607427,4
1454,Scar Tissue,0.437,0.717,0,-4.803,1,0.0779,0.00274,0.108,0.547,178.085,215907,4
1455,S.O.S.,0.417,0.723,5,-5.568,1,0.245,0.000942,0.249,0.473,125.102,205404,4
